1,8822,[2306  769  321 1079  525],1,3.33333333,5000,5,0.30029838221777777,0.2034137120922562,0.2033930956841311
1,8822,[4644 1546  667 2110 1033],1,3.33333333,10000,5,0.3003204111088889,0.20169040016382767,0.20168560792416879
1,8822,[9216 3038 1404 4253 2089],1,3.33333333,20000,5,0.29702367055444445,0.2008283322946842,0.2008272654121209
1,8822,[23204  7503  3586 10457  5250],1,3.33333333,50000,5,0.29801877022177775,0.20032948630756275,0.20032932419435492
1,8822,[46650 15052  7188 20825 10285],1,3.33333333,100000,5,0.2995025509108889,0.20016544067519412,0.20016539985372372
0.5,8822,[9 5 1 2 3],1,3.33333333,20,5,0.8555555544444444,1.1530864178469136,0.8294843553094697
0.5,8822,[17 11  5  6 11],1,3.33333333,50,5,0.4590222217777778,0.4699148340808873,0.44233849290369415
0.5,8822,[27 18 20 15 20],1,3.33333333,100,5,0.3189111108888889,0.315226337218107,0.3137788651578292
0.5,8822,[47 34 40 34 45],1,3.33333333,200,5,0.25920555544444446,0.2565877098328992,0.25635941382873023
0.5,8822,[118  76  97  87 122],1,3.33333333,500,5,0.22847022217777777,0.22294787708458544,0.22287138214452537
0.5,8822,[241 150 203 170 236],1,3.33333333,1000,5,0.21749711108888886,0.21149413051531468,0.21147218203221005
0.5,8822,[452 317 427 370 434],1,3.33333333,2000,5,0.20865005554444443,0.20565143734686195,0.20564853449841866
0.5,8822,[1094  878 1039  943 1046],1,3.33333333,5000,5,0.2034464622177778,0.20223642718916074,0.20223626375031323
0.5,8822,[2092 1844 2099 1909 2056],1,3.33333333,10000,5,0.2016512911088889,0.20111419731082608,0.201114179767828
0.5,8822,[4139 3752 4137 3889 4083],1,3.33333333,20000,5,0.20085256555444445,0.20055640146079584,0.20055639905724074
0.5,8822,[10207  9622 10153  9771 10247],1,3.33333333,50000,5,0.2003512590217778,0.20022236744039645,0.2002223672771304
0.5,8822,[20558 19416 20191 19581 20254],1,3.33333333,100000,5,0.20020400891088888,0.20011116296575795,0.20011116293682368
1.5,6969,[3 1 2 8 6],1,3.33333333,20,5,0.8405555544444445,1.1444444425555556,0.8217172581603295
1.5,6969,[ 6  2  8 16 18],1,3.33333333,50,5,0.4958222217777778,0.604320986845679,0.46942165687633475
1.5,6969,[ 8  3 17 40 32],1,3.33333333,100,5,0.4097111108888889,0.4548474940436819,0.3622108468546392
1.5,6969,[ 8  4 24 95 69],1,3.33333333,200,5,0.4166055554444445,0.3963047711982033,0.32015915321916827
1.5,6969,[  8   4  36 279 173],1,3.33333333,500,5,0.4588062221777778,0.38317437918443703,0.2986133638164787
1.5,6969,[ 10   5  49 645 291],1,3.33333333,1000,5,0.5143431110888889,0.344619989479224,0.282049803795774
1.5,6969,[  11    7   62 1388  532],1,3.33333333,2000,5,0.5589510555444444,0.31222018927223494,0.2700064661636439
1.5,6969,[  11    8   75 3946  960],1,3.33333333,5000,5,0.6621552622177778,0.30246111628178984,0.2650544078939003
1.5,6969,[  11    8   85 8532 1364],1,3.33333333,10000,5,0.7477404111088889,0.3015662844345404,0.26377537867298123
1.5,6969,[   11     8    89 18111  1781],1,3.33333333,20000,5,0.8285265255544444,0.30122744128254375,0.26327628861091185
1.5,6969,[   14     8    94 47621  2263],1,3.33333333,50000,5,0.9093781846217779,0.29223544858650186,0.2587121746686821
1.5,6969,[   14     8    96 97268  2614],1,3.33333333,100000,5,0.946901740710889,0.2921058106776747,0.25852850023445145
1,6969,[3 1 2 8 6],1,3.33333333,20,5,0.8405555544444445,1.1444444425555556,0.8217172581603295
1,6969,[ 3  2  9 21 15],1,3.33333333,50,5,0.5262222217777778,0.6705467362723104,0.4899314347325028
1,6969,[ 8  5 16 40 31],1,3.33333333,100,5,0.4017111108888889,0.3976702505007169,0.3523769751396443
1,6969,[14 13 38 73 62],1,3.33333333,200,5,0.3301055554444445,0.29088671102728586,0.2788333005748309
1,6969,[ 32  34 111 174 149],1,3.33333333,500,5,0.29013422217777773,0.23650191528150558,0.23388800766906193
1,6969,[ 58  69 226 318 329],1,3.33333333,1000,5,0.2796771110888889,0.21881914638923153,0.21799592787804906
1,6969,[125 152 448 624 651],1,3.33333333,2000,5,0.26870805554444444,0.2088665567104535,0.20869115125436663
1,6969,[ 302  377 1101 1597 1623],1,3.33333333,5000,5,0.2674251022177778,0.2036063823959178,0.20357538450439458
1,6969,[ 583  759 2159 3214 3285],1,3.33333333,10000,5,0.2680938311088889,0.20182734181445217,0.20181904497540423
1,6969,[1120 1468 4254 6440 6718],1,3.33333333,20000,5,0.27083321555444445,0.20093922766664524,0.2009369236622336
1,6969,[ 2745  3700 10570 15963 17022],1,3.33333333,50000,5,0.2712285334217778,0.20037803055217046,0.2003776493766731
1,6969,[ 5490  7481 21301 32210 33518],1,3.33333333,100000,5,0.2701889597108889,0.20018828820354748,0.20018819347052705
0.5,6969,[3 1 2 8 6],1,3.33333333,20,5,0.8405555544444445,1.1444444425555556,0.8217172581603295
0.5,6969,[10  6  8 16 10],1,3.33333333,50,5,0.44462222177777777,0.4462962958037037,0.43350351704174883
0.5,6969,[21 10 16 33 20],1,3.33333333,100,5,0.3397111108888889,0.32907647881832613,0.3216680045410636
0.5,6969,[44 23 32 54 47],1,3.33333333,200,5,0.27090555544444445,0.2610002878157938,0.25953336192484044
0.5,6969,[116  82  91 115  96],1,3.33333333,500,5,0.22583022217777776,0.22262984059295482,0.2225881781417756
0.5,6969,[224 171 185 216 204],1,3.33333333,1000,5,0.21302511108888889,0.21122188208867124,0.21121579470337187
0.5,6969,[448 359 387 413 393],1,3.33333333,2000,5,0.20664855554444445,0.20558554411050994,0.2055847388848607
0.5,6969,[1043  943 1014  974 1026],1,3.33333333,5000,5,0.20248806221777776,0.20222522860282588,0.2022251949613327
0.5,6969,[2076 1903 2019 1969 2033],1,3.33333333,10000,5,0.2012870711088889,0.20111210323111553,0.2011120976646445
0.5,6969,[4108 3796 4116 3914 4066],1,3.33333333,20000,5,0.20075177555444446,0.20055611201556806,0.200556110441405
0.5,6969,[10063  9617 10155 10009 10156],1,3.33333333,50000,5,0.2003018622217778,0.20022231296688875,0.20022231286359227
0.5,6969,[19968 19439 20106 20224 20263],1,3.33333333,100000,5,0.20015574371088887,0.2001111363274213,0.20011113631318095
1.5,9439,[10  1  6  2  1],1,3.33333333,20,5,0.9105555544444445,1.4296296271703703,0.8756463526897695
1.5,9439,[24  7 14  4  1],1,3.33333333,50,5,0.5574222217777778,0.8693121679735449,0.506369062774339
1.5,9439,[51 13 31  4  1],1,3.33333333,100,5,0.48591111088888894,0.8127951030306146,0.40921518567553916
1.5,9439,[115  23  55   6   1],1,3.33333333,200,5,0.47595555544444446,0.7497877312968526,0.35071570296031607
1.5,9439,[372  44  77   6   1],1,3.33333333,500,5,0.6073662221777778,0.7355862764505889,0.3250447431980859
1.5,9439,[827  57 109   6   1],1,3.33333333,1000,5,0.7102071110888888,0.7309306780871165,0.3160234881451224
1.5,9439,[1782   67  144    6    1],1,3.33333333,2000,5,0.8057520555444444,0.7284878440422569,0.3112219615898846
1.5,9439,[4728   82  183    6    1],1,3.33333333,5000,5,0.8979915822177779,0.726461232464575,0.30728566228057674
1.5,9439,[9693   87  213    6    1],1,3.33333333,10000,5,0.9411833511088888,0.7257595200396221,0.3058810866147338
1.5,9439,[19674    88   231     6     1],1,3.33333333,20000,5,0.9683741005544444,0.7255156148884945,0.30537582236744276
1.5,9439,[49651    90   252     6     1],1,3.33333333,50000,5,0.9863395990217778,0.7252294088727806,0.30479677722095877
1.5,9439,[99626    94   273     6     1],1,3.33333333,100000,5,0.992653438910889,0.7248791126135361,0.3041094244715697
1,9439,[10  1  6  2  1],1,3.33333333,20,5,0.9105555544444445,1.4296296271703703,0.8756463526897695
1,9439,[19  2 21  5  3],1,3.33333333,50,5,0.5582222217777778,0.7038150922811472,0.5100840618921819
1,9439,[34  8 49  6  3],1,3.33333333,100,5,0.47771111088888896,0.49991996738735495,0.392048607102674
1,9439,[64 23 99  9  5],1,3.33333333,200,5,0.41885555544444447,0.3690290583649136,0.31414054254923796
1,9439,[163  57 247  26   7],1,3.33333333,500,5,0.3884302221777778,0.2929093746092519,0.2619785952045445
1,9439,[323 123 480  62  12],1,3.33333333,1000,5,0.3649571110888889,0.2501207801031995,0.23648909012348768
1,9439,[662 235 932 147  24],1,3.33333333,2000,5,0.3516250555444444,0.2245814409710841,0.2202723191616377
1,9439,[1673  572 2313  377   65],1,3.33333333,5000,5,0.3471196622177778,0.20925131314225628,0.20855263412098932
1,9439,[3379 1127 4669  702  123],1,3.33333333,10000,5,0.3510637511088889,0.20486756369809817,0.20465992655429766
1,9439,[6742 2280 9358 1380  240],1,3.33333333,20000,5,0.3510233755544444,0.20248226009228126,0.20242570490477516
1,9439,[16977  5597 23319  3537   570],1,3.33333333,50000,5,0.35068460942177776,0.20103002901534697,0.2010197159805874
1,9439,[34030 11052 46600  7107  1211],1,3.33333333,100000,5,0.3504834685108889,0.2004923540442308,0.20049007069095998
0.5,9439,[10  1  6  2  1],1,3.33333333,20,5,0.9105555544444445,1.4296296271703703,0.8756463526897695
0.5,9439,[20  5 13  5  7],1,3.33333333,50,5,0.4894222217777778,0.49768009708473754,0.45678361646484955
0.5,9439,[34  7 23 18 18],1,3.33333333,100,5,0.3493111108888889,0.34527034617332664,0.32775000564910606
0.5,9439,[57 21 46 39 37],1,3.33333333,200,5,0.27295555544444444,0.26203115115194026,0.26017152262134235
0.5,9439,[131  64 109 105  91],1,3.33333333,500,5,0.23199822217777777,0.22353143116435295,0.22337033193582
0.5,9439,[239 147 192 214 208],1,3.33333333,1000,5,0.2157651110888889,0.2114114419079028,0.2113928772487651
